Student_ID,Attendance,Assignment_Score,Quiz_Score,Midterm,Final,GPA,LMS_Logins,Time_Spent,Discussion_Posts,Late_Submissions,Teacher_Feedback,Course_Completion,Previous_Result,Risk
STU0646,79.9,64.6,59.9,41.1,45.7,1.88,36,29.9,34.0,9,Good,96.4,1,0
STU0196,71.6,70.1,35.6,60.3,32.8,2.49,22,37.3,19.0,8,Fair,90.0,0,0
STU0527,100.0,94.5,79.8,87.4,80.7,3.61,59,87.6,27.0,7,Excellent,90.6,1,0
STU0794,77.3,68.7,63.0,75.5,64.4,3.26,52,23.0,25.0,5,Excellent,81.6,1,0
STU0414,84.6,85.8,59.0,67.9,62.0,3.39,38,36.8,39.0,3,Excellent,100.0,1,0
STU0601,94.5,72.3,64.3,80.4,77.4,3.52,54,70.7,36.0,6,Good,90.7,0,0
STU0228,100.0,85.8,90.7,88.4,100.0,3.59,46,,23.0,2,Excellent,100.0,1,0
STU0909,82.2,63.2,53.0,49.6,53.5,2.94,36,31.2,20.0,6,Fair,70.1,0,1
STU0307,60.4,53.7,76.4,61.8,56.7,2.51,18,52.3,13.0,7,Poor,83.9,0,1
STU0184,87.1,85.4,67.3,84.4,100.0,4.0,63,123.8,33.0,3,Excellent,96.0,1,0
STU0276,83.3,71.2,40.1,53.2,60.5,2.22,42,98.0,38.0,10,Excellent,79.4,1,0
STU0830,43.2,29.4,53.4,7.4,0.0,0.99,20,1.1,0.0,15,Poor,53.8,1,1
STU0374,89.8,64.1,87.4,66.6,96.3,2.89,71,,22.0,8,Excellent,80.1,1,0
STU0427,97.9,83.0,91.6,77.6,74.9,2.85,52,57.5,20.0,3,Fair,96.1,1,0
STU0177,87.5,80.4,86.3,95.0,91.2,4.0,51,90.4,32.0,3,Excellent,100.0,1,0
STU0282,91.0,26.0,42.2,44.1,0.0,1.82,18,0.0,0.0,10,Poor,61.9,1,1
STU0495,79.4,59.2,69.1,73.7,58.0,2.75,33,12.3,24.0,10,Fair,67.2,1,0
STU0237,60.0,38.3,36.9,42.0,25.2,1.16,10,42.4,6.0,11,Poor,83.7,1,1
STU0396,79.7,82.7,54.2,70.3,64.6,2.94,38,68.0,17.0,7,Poor,84.4,1,0
STU0552,75.2,67.4,68.7,55.1,59.7,2.9,52,102.3,31.0,5,Poor,96.2,1,0
STU0341,57.9,29.8,48.8,22.5,0.0,1.46,30,0.0,11.0,11,Poor,47.6,0,1
STU0873,85.5,70.5,62.0,66.0,53.7,3.11,24,93.4,25.0,9,Excellent,89.2,1,0
STU0204,84.9,73.6,76.2,83.9,97.5,2.59,38,121.1,2.0,3,Excellent,89.7,1,0
STU0404,63.6,56.9,52.0,67.7,72.4,2.44,46,71.5,3.0,7,Fair,68.5,0,0
STU0451,87.8,61.7,56.6,40.1,46.8,2.51,55,71.5,20.0,13,Good,53.8,0,0
STU0708,82.6,75.3,43.9,76.5,64.0,3.11,57,67.2,19.0,4,Excellent,74.1,1,0
STU0025,63.8,43.6,45.9,52.5,40.2,2.27,24,83.8,30.0,10,Poor,79.6,0,1
STU0371,87.3,54.0,53.2,58.1,39.0,2.92,48,81.5,25.0,5,Poor,91.3,1,0
STU0422,79.9,53.4,50.4,47.1,54.7,1.77,27,37.6,8.0,7,Poor,73.7,1,0
STU0837,81.5,63.5,64.1,63.0,27.3,2.79,40,38.8,13.0,4,Poor,64.3,1,0
STU0843,100.0,95.8,89.3,90.9,68.8,3.61,55,50.6,50.0,1,Excellent,96.5,1,0
